GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",180199,185520,239441,329425,364989,356744,424184,367938,329024,344534,328832,293133,261625,263948,234215,200428,202941,202929,209351,225246,313884
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",91331,97822,118852,118817,138192,140865,134716,136267,174224,188376,163476,93113,100986,105778,115411,108145,106343,105258,125573,121572,126585
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",(D),55912,59875,58689,(D),82999,86856,89422,80262,83907,87332,90504,(D),73428,(D),63403,(D),(D),(D),(D),(D)
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",145806,151016,158392,165590,163140,166810,170512,166521,158576,156796,149353,143221,141480,151483,146435,151603,151863,164489,168095,180600,205084
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",48944,50960,51577,(D),53465,(D),(D),(D),(D),(D),(D),(D),70902,(D),65143,(D),(D),70246,74754,77880,(D)
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,45,"51","  Information ","Thousands of dollars",12100,12347,14247,19556,23217,23161,26773,29160,28046,26171,24380,23946,25898,22473,25951,28823,28692,23687,21821,21467,22239
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",279371,281469,276386,282328,288546,329385,366841,383679,406298,412115,411261,454150,428917,438461,457955,459945,432476,494740,478798,476366,499760
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",37442,48286,47442,39216,39098,49498,54050,61107,64510,64137,65258,67401,59708,57305,59151,66784,66454,71776,69181,77965,85666
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",241929,233183,228943,243113,249448,279888,312791,322572,341788,347978,346003,386749,369210,381156,398803,393161,366021,422963,409617,398401,414094
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,59,"54, 55, 56","  Professional and business services ","Thousands of dollars",65655,64126,87178,97684,105599,84296,83004,84274,75091,78898,98306,100195,102275,133610,136456,129650,130431,128592,136597,132370,169933
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",47768,45008,48860,52169,55667,54586,51389,48290,41645,40375,51424,51975,52860,55674,55968,45617,54518,64056,68489,61983,61991
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",2685,2711,20791,26673,27198,5938,4004,4381,3794,4562,9858,9878,9860,37034,34130,33400,13324,6695,7734,6841,23856
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",15203,16407,17527,18842,22734,23772,27610,31602,29652,33961,37025,38342,39555,40901,46358,50633,62588,57842,60374,63546,84086
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of dollars",90114,101759,109806,(D),123285,(D),(D),146092,151771,(D),154399,153929,149550,148820,148567,158090,166947,170212,177074,181869,188136
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,69,"61","   Educational services ","Thousands of dollars",1288,1363,1819,(D),(D),(D),(D),2745,2638,(D),2593,2838,2780,2684,2744,2805,2684,2602,2704,2473,2638
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",88826,100396,107987,(D),(D),(D),(D),143348,149132,(D),151805,151091,146770,146136,145823,155285,164264,167610,174371,179396,185498
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",67236,72554,74028,73202,76291,82699,84901,82697,73988,75550,76346,78748,81441,84835,94928,108009,123984,136832,132933,110684,150726
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",5672,6754,7456,8170,8138,7907,8352,7669,7448,6598,6350,6500,6586,7165,7829,8056,8392,11036,10918,7381,9507
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",61563,65800,66572,65032,68153,74793,76549,75029,66540,68953,69996,72248,74855,77669,87099,99953,115591,125795,122015,103303,141219
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",51547,54862,53537,54996,56307,56337,57706,55661,53682,55435,52382,51664,51537,54081,55439,57819,61245,65562,66967,65453,70648
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,83,"...","Government and government enterprises ","Thousands of dollars",312046,319675,335321,349280,374934,404602,413017,436605,448500,457388,448110,465856,494280,523224,557031,575063,588709,617906,662136,632133,663028
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,87,"11, 21","Natural resources and mining ","Thousands of dollars",(D),78710,83955,95609,95742,114139,110227,(D),(D),91360,(D),(D),(D),(D),(D),(D),98595,(D),(D),(D),117956
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,88,"42, 44-45","Trade ","Thousands of dollars",(D),206929,218267,224279,(D),249809,257368,255943,238837,240703,236684,233725,(D),224911,(D),215006,(D),(D),(D),(D),(D)
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,89,"22, 48-49","Transportation and utilities ","Thousands of dollars",(D),55123,58115,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
